SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
62,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124,10.65,9.98,0.67,4.54,3.87,0.67,42.63%,0,185,NIL,0,0,0
58,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,0,235,ALERT,102,102,0
64,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,164.93,10.09,9.86,0.23,5.15,4.92,0.23,51.04%,0,220,NIL,0,0,0
56,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.866,13.64,13.63,0.01,6.22,6.21,0.01,45.60%,0,97,NIL,0,0,0
63,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,198.9,29.94,29.94,0.00,14.04,14.04,0.00,46.89%,0,148,NIL,0,0,0
60,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,10,175,NIL,0,0,0
53,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,62,NIL,0,0,0
59,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,170,NIL,0,0,0
61,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.25,26.92,24.63,2.29,26.92,24.63,2.29,100%,5,210,HIGHALERT,45,45,0
54,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,33.5,10.19,7.44,2.75,6.76,4.01,2.75,66.34%,20,325,NIL,60,60,0
57,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,200,NIL,0,0,0
55,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,10,275,HIGHALERT,0,0,0
38,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,104.08,7.54,7.22,0.32,0.03,0.00,0.03,0.40%,4,159,NIL,0,0,0
39,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,177.33,152.84,149.39,3.45,51.97,48.52,3.45,34.00%,20,171,NIL,0,0,0
43,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,210.56,53.13,49.97,3.16,29.82,26.66,3.16,56.13%,4,177,NIL,50,0,0
42,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,132.9,158.20,134.79,23.41,86.32,62.91,23.41,54.56%,8,359,NIL,0,0,0
41,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,196.34,9.28,8.70,0.58,4.72,4.14,0.58,50.86%,2,195,NIL,20,0,0
40,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155,43.86,36.58,7.28,24.49,17.21,7.28,55.84%,6,386,NIL,35,35,0
46,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,169.53,397.12,392.01,5.10,43.64,38.54,5.10,10.99%,3,132,NIL,200,0,0
45,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,173.45,161.43,145.37,16.06,6.11,0.00,6.11,3.78%,0,124,NIL,0,0,0
44,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,194.75,31.46,26.30,5.16,7.22,2.06,5.16,22.95%,0,171,NIL,0,0,0
194,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,134.9,14.17,12.56,1.61,12.24,10.63,1.61,86.38%,16,364,ALERT,104.22,0,0
195,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,136.8,8.15,7.84,0.31,2.45,2.14,0.31,30.06%,31,411,NIL,18.39,0,0
196,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,136.5,7.52,7.27,0.25,3.50,3.25,0.25,46.54%,36,588,NIL,282.02,0,0
68,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,38.8,3.68,3.68,0.00,0.22,0.22,0.00,5.98%,0,151,NIL,0,0,0
76,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,60.41,11.18,9.66,1.52,11.18,9.66,1.52,100%,5,400,HIGHALERT,0,0,0
70,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,103.03,11.44,11.44,0.00,8.00,8.00,0.00,69.93%,0,271,NIL,0,0,0
73,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,99.1,9.23,9.13,0.10,9.23,9.13,0.10,100%,15,290,HIGHALERT,11,11,0
66,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,89.5,5.60,5.43,0.17,4.06,3.89,0.17,72.50%,0,281,WARNING,0,0,0
71,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,53.5,12.24,11.84,0.40,9.71,9.31,0.40,79.33%,0,415,WARNING,0,0,0
74,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,56,28.21,25.84,2.37,22.64,20.27,2.37,80.26%,0,510,ALERT,0,0,0
75,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,55.35,346.48,341.45,5.03,334.23,329.20,5.03,96.46%,0,380,HIGHALERT,807,0,0
67,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,85.8,2.02,1.93,0.09,0.79,0.70,0.09,39.11%,0,330,NIL,0,0,0
65,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,34.6,3.72,3.18,0.54,1.27,0.73,0.54,34.14%,0,160,NIL,0,0,0
72,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,50.7,2.11,1.84,0.27,1.74,1.47,0.27,82.46%,0,363,ALERT,0,0,0
69,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,62.48,36.81,36.81,0.00,36.68,36.68,0.00,99.65%,0,190,HIGHALERT,0,0,0
82,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,50,4.41,3.48,0.93,3.50,2.57,0.93,79.37%,0,505,WARNING,0,0,0
83,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,126.5,15.75,15.12,0.63,15.75,15.12,0.63,100%,0,405,HIGHALERT,63,63,0
79,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101.8,2.93,2.64,0.29,2.33,2.04,0.29,79.52%,0,330,WARNING,0,0,0
78,182,55,Botad,Botad,Sukhbhadar,Sau,G,102,109.2,108.2,41.13,37.57,3.56,31.08,27.52,3.56,75.57%,0,280,WARNING,323,323,0
81,92,60,Botad,Gadhada,Bhimdad,Sau,UG,96.32,104.85,104.9,6.79,6.79,0.00,6.79,6.79,0.00,100%,0,460,HIGHALERT,66.42,66.42,0
80,78,66,Botad,Gadhada,Kalubhar,Sau,G,53.72,60.36,58.5,18.14,16.62,1.52,13.12,11.60,1.52,72.33%,0,230,WARNING,0,0,0
77,83,64,Botad,Gadhada,Limbali,Sau,G,124.1,128.1,125.1,8.48,6.94,1.54,2.71,1.17,1.54,31.96%,0,195,NIL,0,0,0
84,79,65,Botad,Gadhada,Malpara,Sau,G,73,78.1,77.8,6.90,6.40,0.50,5.70,5.20,0.50,82.61%,0,230,ALERT,0,0,0
85,2,58,Botad,Ranpur,Utavali,Sau,G,47.3,49.3,49,9.01,6.91,2.10,7.50,5.40,2.10,83.24%,0,475,ALERT,0,0,0
2,40,14,Chhotaudepur,Jetpur pavi,Sukhi,CG,G,134,147.82,145.7,173.01,163.22,9.79,125.15,115.36,9.79,72.34%,0,522,WARNING,900.53,900.53,0
1,41,15,Chhotaudepur,Kawant,Rami,CG,UG,184,196.35,190.3,4.55,4.49,0.06,0.99,0.93,0.06,21.76%,10,260,NIL,0,0,0
10,23,26,Dahod,Devgadh baria,WNKL.-BHEY,CG,UG,214.9,223.57,219.14,13.30,11.69,1.61,5.46,3.85,1.61,41.05%,25,385,NIL,0,0,0
4,25,25,Dahod,Dhanpur,Edalwada,CG,FG,228.5,237.3,235.9,14.08,13.28,0.80,10.28,9.48,0.80,73.01%,25,433,WARNING,343,0,0
5,18,21,Dahod,Garbada,Patadungari,CG,UG,160.02,170.84,167.18,41.05,39.64,1.41,17.91,16.50,1.41,43.63%,0,207,NIL,631,0,0
6,24,22,Dahod,Limkheda,Umaria,CG,UG,270.93,280,279.8,13.54,11.67,1.87,13.08,11.21,1.87,96.60%,2,306,HIGHALERT,294,0,0
7,16,23,Dahod,Singvad,Hadaf,CG,G,161.5,166.2,164.05,22.09,17.27,4.82,12.31,7.49,4.82,55.73%,9,296,NIL,300,0,0
9,22,24,Dahod,Singvad,Kabutari,CG,UG,180.6,186.3,185.05,9.58,8.07,1.51,6.87,5.36,1.51,71.71%,10,280,WARNING,245,0,0
3,26,17,Dahod,Zalod,Kali - II,CG,UG,250,257,257.05,14.52,10.91,3.61,14.52,10.91,3.61,100%,0,115,HIGHALERT,124,124,0
8,21,18,Dahod,Zalod,Machchhanala,CG,UG,271.31,277.64,274.9,27.75,21.82,5.93,15.04,9.11,5.93,54.20%,3,156,NIL,1716.7,0,0
90,123,137,DevbhumiDwarka,Bhanvad,Kabarka,Sau,UG,92.2,96.85,89.9,4.30,4.06,0.24,0.02,0.00,0.02,0.47%,0,100,NIL,0,0,0
88,195,131,DevbhumiDwarka,Bhanvad,Minsar (V),Sau,UG,85.5,91.8,83,5.85,5.54,0.31,0.08,0.00,0.08,1.37%,0,150,NIL,0,0,0
93,115,141,DevbhumiDwarka,Bhanvad,Sonmati,Sau,FG,72,78.5,72.5,7.40,7.09,0.31,0.44,0.13,0.31,5.95%,0,165,NIL,0,0,0
89,100,138,DevbhumiDwarka,Bhanvad,Vartu-I,Sau,UG,32,39.01,30.5,11.83,11.59,0.24,0.04,0.00,0.04,0.34%,10,140,NIL,0,0,0
94,109,142,DevbhumiDwarka,Bhanvad,Vartu-II,Sau,G,31.75,39.95,32.4,25.60,24.03,1.57,2.03,0.46,1.57,7.93%,0,130,NIL,0,0,0
86,118,139,DevbhumiDwarka,Bhanvad,Veradi,Sau,UG,80,85.15,77.5,6.42,6.31,0.11,0.00,0.00,0.00,0.00%,0,130,NIL,0,0,0
87,194,140,DevbhumiDwarka,Bhanvad,Veradi-II,Sau,UG,57.6,65.4,57.5,9.79,9.57,0.22,0.21,0.00,0.21,2.15%,0,115,NIL,0,0,0
97,95,147,DevbhumiDwarka,Jamkalyanpur,Sani,Sau,G,13.65,17.25,9.25,39.02,32.18,6.84,0.00,0.00,0.00,0.00%,0,440,NIL,0,0,0
92,117,146,DevbhumiDwarka,Jamkalyanpur,Shedhabhadthari,Sau,UG,28,32.5,23.9,5.62,4.99,0.63,0.01,0.00,0.01,0.18%,0,135,NIL,0,0,0
95,104,145,DevbhumiDwarka,Jamkhambhalia,Gadhaki,Sau,UG,25.1,30,24.7,9.34,9.14,0.20,0.14,0.00,0.14,1.50%,0,230,NIL,0,0,0
96,97,149,DevbhumiDwarka,Jamkhambhalia,Ghee,Sau,UG,34.44,40.54,37.15,10.97,10.89,0.08,2.21,2.13,0.08,20.15%,0,185,NIL,0,0,0
91,122,148,DevbhumiDwarka,Kalyanpur,Sindhani,Sau,UG,13,16.35,7.32,8.73,7.96,0.77,0.00,0.00,0.00,0.00%,0,240,NIL,0,0,0
98,127,89,Gir Somnath,Gir-Gadhada,Machhundri,Sau,UG,99.5,109.5,105.8,31.84,26.70,5.14,17.29,12.15,5.14,54.30%,5,195,NIL,199,0,0
99,126,88,Gir Somnath,Gir-Gadhada,Raval,Sau,G,129.85,148.85,142.455,26.73,24.00,2.73,14.21,11.48,2.73,53.16%,37,230,NIL,0,0,0
101,124,90,Gir Somnath,Gir-Gadhada,Shingoda,Sau,G,122.78,141.58,139.28,36.40,36.07,0.33,25.21,24.88,0.33,69.26%,5,336,NIL,0,0,0
100,125,92,Gir Somnath,Talala,Hiran-II,Sau,G,62.42,71.26,67.63,38.58,35.02,3.56,16.95,13.39,3.56,43.93%,6,249,NIL,0,0,0
102,106,164,Jamnagar,Dhrol,Und-II,Sau,G,14.5,18.25,12.15,37.12,32.87,4.25,0.55,0.00,0.55,1.48%,0,265,NIL,0,0,0
107,99,132,Jamnagar,Jamjodhpur,Dia-Minsar,Sau,UG,71.5,75.4,71.44,11.11,8.87,2.24,2.19,0.00,2.19,19.71%,0,190,NIL,0,0,0
119,110,126,Jamnagar,Jamjodhpur,Fulzar (KB),Sau,G,88.4,95.85,93.82,18.03,16.28,1.75,9.98,8.23,1.75,55.35%,0,115,NIL,40,0,0
105,103,128,Jamnagar,Jamjodhpur,Umiyasagar,Sau,G,68,71.05,69.5,1.55,1.37,0.18,0.85,0.67,0.18,54.84%,0,135,NIL,0,0,0
106,107,160,Jamnagar,Jamnagar,Kankavati,Sau,G,26.5,30.5,27.47,6.82,6.39,0.43,0.94,0.51,0.43,13.78%,0,205,NIL,0,0,0
118,108,156,Jamnagar,Jamnagar,Rangmati,Sau,G,38.5,43.2,42.2,3.36,3.20,0.16,2.17,2.01,0.16,64.58%,0,215,NIL,0,0,0
122,105,157,Jamnagar,Jamnagar,Ruparel,Sau,UG,45.05,48.2,47.8,4.27,3.74,0.53,3.56,3.03,0.53,83.37%,0,170,ALERT,0,0,0
115,114,158,Jamnagar,Jamnagar,Sapada,Sau,UG,27.13,32.77,32.32,5.56,5.27,0.29,4.72,4.43,0.29,84.89%,0,165,ALERT,0,0,0
117,94,163,Jamnagar,Jamnagar,Und-I,Sau,G,90.1,98,94.8,69.05,65.95,3.10,29.88,26.78,3.10,43.27%,0,155,NIL,0,0,0
108,101,159,Jamnagar,Jamnagar,Vijarkhi,Sau,UG,22.86,30.47,28.25,9.70,9.70,0.00,4.66,4.66,0.00,48.04%,0,190,NIL,0,0,0
103,206,155,Jamnagar,Jamnagar,Wagadiya,Sau,UG,60.2,62.05,62.05,2.27,1.25,1.02,2.27,1.25,1.02,100%,0,285,HIGHALERT,0,0,0
113,119,162,Jamnagar,Jamnagar,Wodisang,Sau,UG,72.7,76.5,74.85,7.85,5.58,2.27,4.60,2.33,2.27,58.60%,0,185,NIL,0,0,0
116,111,174,Jamnagar,Jodiya,Aji-IV,Sau,G,14.45,20.4,11.85,39.83,37.49,2.34,0.33,0.00,0.33,0.83%,0,95,NIL,0,0,0
121,98,127,Jamnagar,Kalavad,Fulzar-I,Sau,UG,17.98,24.69,23.8,11.36,11.22,0.14,8.07,7.93,0.14,71.04%,0,120,WARNING,0,0,0
110,113,121,Jamnagar,Kalavad,Phophal-II,Sau,UG,125,129.33,124.49,6.13,5.89,0.24,0.15,0.00,0.15,2.45%,0,135,NIL,0,0,0
112,121,161,Jamnagar,Kalavad,Und-III,Sau,UG,106.6,110.6,107.59,4.69,3.89,0.80,1.30,0.50,0.80,27.72%,0,110,NIL,0,0,0
114,116,150,Jamnagar,Lalpur,Fulzar-II,Sau,UG,47.55,52.12,43.3,3.10,2.83,0.27,0.00,0.00,0.00,0.00%,0,120,NIL,0,0,0
109,102,151,Jamnagar,Lalpur,Puna,Sau,UG,19.81,24.39,22.49,7.83,7.77,0.06,2.80,2.74,0.06,35.76%,0,50,NIL,0,0,0
111,120,152,Jamnagar,Lalpur,Rupavati,Sau,UG,72.75,77.3,69.2,2.76,2.63,0.13,0.00,0.00,0.00,0.00%,0,110,NIL,0,0,0
120,96,153,Jamnagar,Lalpur,Sasoi,Sau,UG,22.25,28.95,26.15,37.97,37.97,0.00,12.62,12.62,0.00,33.24%,0,75,NIL,0,0,0
104,205,154,Jamnagar,Lalpur,Sasoi-II,Sau,UG,100,104.4,100,2.43,2.02,0.41,0.41,0.00,0.41,16.87%,0,75,NIL,0,0,0
134,139,97,Junagadh,Bhesan,Mota-Gujariya,Sau,UG,132.77,140.02,138.25,7.64,7.55,0.09,3.80,3.71,0.09,49.74%,0,265,NIL,0,0,0
124,128,101,Junagadh,Bhesan,Uben,Sau,UG,100.61,107.61,102.48,16.20,15.60,0.60,1.97,1.37,0.60,12.16%,0,118,NIL,0,0,0
126,131,102,Junagadh,Junagadh,Hasanapur,Sau,UG,137.77,148.13,145.05,8.40,8.19,0.21,4.55,4.34,0.21,54.17%,0,170,NIL,0,0,0
127,132,98,Junagadh,Junagadh,Ozat-II,Sau,G,72.5,77.5,76.2,36.20,27.71,8.49,27.03,18.54,8.49,74.67%,3,310,WARNING,291,291,0
128,133,105,Junagadh,Maliya Hatina,Vrajmi,Sau,G,84.6,94,84.57,10.35,10.10,0.25,0.25,0.00,0.25,2.42%,0,283,NIL,0,0,0
131,136,106,Junagadh,Manavadar,Bantva-Kharo,Sau,G,13.8,16.25,14.57,6.68,5.76,0.92,1.75,0.83,0.92,26.20%,0,190,NIL,0,0,0
137,140,91,Junagadh,Mendarda,Hiran-I,Sau,UG,31.24,44.2,39.16,20.22,19.64,0.58,8.45,7.87,0.58,41.79%,8,379,NIL,0,0,0
123,129,103,Junagadh,Mendarda,Madhuvanti,Sau,UG,149.65,165.19,161.18,11.65,11.30,0.35,5.24,4.89,0.35,44.98%,0,267,NIL,10.62,0,0
132,137,99,Junagadh,Vanthali,Ozat-Weir,Sau,G,29.8,32.8,30,1.95,1.88,0.07,0.09,0.02,0.07,4.62%,0,322,NIL,1165.4,1165.4,0
133,138,100,Junagadh,Vanthali,Ozat-Weir(Vanthali),Sau,G,25,27.5,25.2,1.79,1.54,0.25,0.34,0.09,0.25,18.99%,0,285,NIL,1440.85,1440.85,0
